Críticas (Bloqueantes para Homologação);;;;;;
ID;Requisito OS 19;O que o Protótipo Mostra;Problema;Risco;;
F2.3;Upload e processamento de documentos normativos (PDF/TXT) com RAG;❌ Ausente totalmente;IA opera sem base normativa visível;"Não demonstra valor do ""Sofia NLP""";;
F5.3;Tratamento de falhas no processamento da IA;"❌ Ausente - só mostra ""Syncing"" com sucesso";Sistema parece infalível;Não comprova resiliência do MVP;;
F17.1;Cadastro e manutenção de usuários (admin);❌ Ausente - só tem login;Gestão de acesso não existe;Governança básica comprometida;;
F16.1-F16.6;Configuração de tipos de avaliação, ambiente, risco, thresholds;❌ Ausente - valores fixos;Sistema não é parametrizável;Flexibilidade do MVP não evidenciada;;
F21.2;Notificação de erro de sincronização;❌ Ausente;Usuário sem feedback em falha;Experiência de campo comprometida;;
;;;;;;
;;;;;;
;;;;;;
Importantes (Impactam Critérios de Aceite);;;;;;
ID;Funcionalidade;Critério de Aceite OS 19 (literal);O que o Protótipo Mobile Entrega;Status;Gap Específico;Mitigação Possível
F1.7;Timestamp das evidências;"""O campo timestamp deve ser exibido na tela de detalhes da evidência""";"Timestamp só aparece no PDF final; não na tela de revisão de fotos (p.7)";⚠️ Não atende;Metadado existe mas não é exposto na UI de campo;"Adicionar linha ""Capturado em: 2026-03-16T10:42:00Z"" na tela de revisão"
F2.2;Descrição semântica visual;"""A descrição deve identificar ao menos: tipo de ambiente, objetos principais e presença/ausência de EPIs visíveis""";"Só mostra bounding boxes visuais; sem texto descritivo";⚠️ Não atende;IA processa mas não comunica ao usuário em linguagem natural;"Adicionar card ""Análise IA: Ambiente de construção. EPIs detectados: capacete, colete. EPIs ausentes: luvas, calçado fechado"""
F2.4;Classificação preliminar;"""Cada imagem deve receber: CONFORME, NÃO_CONFORME ou INCONCLUSIVO""";"Mostra ""Compliance 82%"" geral da avaliação";⚠️ Não atende;"Classificação binária implícita; sem estado INCONCLUSIVO; não por imagem";Alterar para badges por imagem: ✅ Conforme / ❌ Não Conforme / ⚠️ Inconclusivo (confiança <60%)
F2.6;Limite de 10 imagens;"""Ao atingir o limite, o botão de adicionar imagens deve ser desabilitado com mensagem informativa""";"Grid mostra ""Add Photo"" sempre ativo; sem contador";⚠️ Não atende;Não há feedback de limite ao usuário;"Adicionar ""3/10 fotos"" + desabilitar ""Add Photo"" no limite com tooltip ""Limite máximo atingido"""
F4.7;Checklist por imagem;"""Painel deve exibir lista/checklist de riscos identificados por imagem""";Lista de riscos genérica sem referência às fotos (p.10);⚠️ Não atende;"Não mostra ""Risco X veio da foto #2""";Adicionar ícone/miniatura da imagem de origem em cada item do checklist
F5.1;Ciclo de vida visível;"""O usuário deve visualizar o estado atual da avaliação na listagem e no detalhe""";"Mostra ""Draft (AI)"" e ""Pending""; estados intermediários ocultos";⚠️ Parcial;CAPTURED, SYNCED, AI_REVIEWED não aparecem;Expandir para: Rascunho → Capturado → Enviando → Analisando → Aguardando Validação → Finalizado
F9.2;Integração Portal Olimpia;"""Backend deve consumir serviços Perseu e Sofia""";"Só ""AI:Object Detection (Perseu)Enabled"" visível (p.5-6)";⚠️ Parcial;Sofia (NLP/RAG) não é mencionado na interface;"Adicionar ""Powered by Sofia NLP"" ou mostrar norma correlacionada como evidência do serviço"
F17.4;Redefinição de credenciais;"""O usuário deve poder solicitar redefinição de senha via fluxo de recuperação""";"Link ""Forgot password?"" presente mas sem telas subsequentes";⚠️ Incompleto;"Jornada termina no link; sem tela de email/código/nova senha";Implementar fluxo mínimo: email → código → nova senha (ou remover link para MVP)
;;;;;;
;;;;;;
;;;;;;
;;;;;;
Menores (Não Bloqueantes, mas Desvios);;;;;;
ID;Requisito OS 19;O que o Protótipo Mostra;Observação;;;
F7.3;WCAG: contraste 4.5:1, touch 44x44px;✅ Aparentemente OK, mas não validado;Requer verificação técnica, não só visual;;;
F12.x;Integridade referencial dados;✅ Implícito, não explicitado;Modelo funciona, mas não é visível;;;
F21.5;Notificação push de relatório pronto;"⚠️ ""Download PDF"" manual";Notificação vs. ação disponível — aceitável para MVP;;;
